City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
251,isla vista,34.4133,-119.861,20.56,80,0,2.06,US,1689937550
252,san juan de miraflores,-12.1629,-76.9635,19.54,81,57,2.53,PE,1689937550
253,awjilah,29.1081,21.2869,38.05,18,0,2.98,LY,1689937350
254,nampa,43.5407,-116.5635,22.92,52,0,2.06,US,1689937255
255,north platte,41.1239,-100.7654,15.06,98,75,0.89,US,1689937551
256,houma,29.5958,-90.7195,26.11,88,0,0.0,US,1689937551
257,beya,53.0533,90.9139,24.67,53,89,2.51,RU,1689937551
258,cucuta,7.8833,-72.5053,26.97,61,20,8.23,CO,1689937551
259,sao vicente,-23.9631,-46.3919,22.21,26,17,1.35,BR,1689937351
260,karratha,-20.7377,116.8463,23.13,39,10,2.16,AU,1689937276
261,new norfolk,-42.7826,147.0587,8.17,87,77,1.06,AU,1689937296
262,gracemere,-23.4333,150.45,19.95,68,100,1.03,AU,1689937551
263,lyangasovo,58.5176,49.4472,18.82,69,100,5.45,RU,1689937552
264,terbanggi besar,-4.8667,105.2333,25.75,80,96,2.93,ID,1689937552
265,ballycastle,55.2044,-6.243,15.01,74,95,3.71,GB,1689937552
266,chillan,-36.6066,-72.1034,12.18,94,100,3.6,CL,1689937552
267,mombetsu,44.3525,143.3525,18.59,91,7,1.8,JP,1689937552
268,nelson bay,-32.7167,152.15,14.5,77,32,5.81,AU,1689937552
269,kodinsk,58.6881,99.1844,29.75,28,3,2.43,RU,1689937278
270,xiva,41.3783,60.3639,36.99,12,0,3.98,UZ,1689937552
271,kurumkan,54.3,110.3,25.36,40,5,0.7,RU,1689937553
272,usogorsk,63.4106,48.6872,19.13,82,97,3.3,RU,1689937307
273,chonchi,-42.6128,-73.8092,10.56,95,100,5.09,CL,1689937255
274,selydove,48.1471,37.3003,28.34,43,14,5.7,UA,1689937553
275,puerto san jose,13.9256,-90.8244,25.34,75,79,1.87,GT,1689937553
276,sumbe,-11.2061,13.8437,24.0,69,100,2.06,AO,1689937553
277,freeport,40.6576,-73.5832,24.6,89,75,5.14,US,1689937553
278,el colomo,19.05,-104.25,26.1,84,35,1.11,MX,1689937554
279,sabang,5.8933,95.3214,29.22,73,97,10.36,ID,1689937406
280,khorramabad,33.4878,48.3558,39.79,9,0,5.14,IR,1689937554
281,barra dos coqueiros,-10.9089,-37.0386,26.01,69,40,7.72,BR,1689937554
282,al bawiti,28.3492,28.8659,38.47,11,0,4.02,EG,1689937554
283,utrik,11.2278,169.8474,28.29,79,44,9.83,MH,1689937285
284,hithadhoo,-0.6,73.0833,28.77,73,77,5.96,MV,1689937307
285,nguigmi,14.2495,13.1092,33.74,39,66,4.34,NE,1689937289
286,port saint john's,-31.6229,29.5448,18.69,54,100,8.78,ZA,1689937265
287,praia da vitoria,38.7333,-27.0667,22.14,88,40,1.77,PT,1689937555
288,tetyushi,54.9382,48.8366,23.77,42,64,6.87,RU,1689937555
289,rongelap,11.1635,166.8941,28.48,79,70,7.96,MH,1689937315
290,merced,37.1666,-120.7516,21.3,64,0,2.7,US,1689937280
291,lundazi,-12.2929,33.1782,25.99,30,3,5.21,ZM,1689937555
292,puerto baquerizo moreno,-0.9,-89.6,24.84,84,51,5.76,EC,1689937227
293,necochea,-38.5473,-58.7368,9.02,93,70,5.18,AR,1689937556
294,hoemul-li,41.4339,129.67,21.97,94,42,0.94,KP,1689937556
295,mincivan,39.0294,46.7185,34.15,41,5,4.03,AZ,1689937556
296,ramshir,30.8946,49.4092,48.92,3,0,4.38,IR,1689937556
297,howrah,22.5892,88.3103,29.0,84,100,3.6,IN,1689937324
298,vicuna,-30.0319,-70.7081,8.85,41,100,0.81,CL,1689937556
299,hasaki,35.7333,140.8333,25.73,83,1,4.45,JP,1689937519
300,port-cartier,50.0334,-66.8654,14.86,72,96,1.23,CA,1689937390
301,ta'izz,13.5,44.0,31.68,26,86,5.73,YE,1689937556
302,urengoy,65.9667,78.3667,28.2,36,89,4.7,RU,1689937557
303,gurupi,-11.7292,-49.0686,22.74,47,5,5.28,BR,1689937336
304,tubarjal,30.4999,38.216,38.49,11,0,3.87,SA,1689937557
305,chibougamau,49.9168,-74.3659,14.79,94,100,1.34,CA,1689937295
306,shakawe,-18.3667,21.85,27.71,22,49,4.39,BW,1689937557
307,port douglas,-16.4833,145.4667,21.5,82,94,3.19,AU,1689937299
308,quimili,-27.6333,-62.4167,22.91,46,90,9.05,AR,1689937557
309,labrador city,52.9463,-66.9114,12.95,88,20,1.03,CA,1689937229
310,olyokminsk,60.3736,120.4264,21.36,66,99,1.88,RU,1689937558
311,i-n-salah,27.1935,2.4607,43.15,7,0,12.08,DZ,1689937558
312,santa cruz,-17.8,-63.1667,18.7,88,0,4.63,BO,1689937558
313,urangan,-25.3,152.9,18.9,74,49,4.24,AU,1689937558
314,brisas de zicatela,15.8369,-97.0419,26.92,72,42,2.44,MX,1689937558
315,petropavlovsk-kamchatsky,53.0452,158.6483,15.33,100,75,2.0,RU,1689937255
316,piacabucu,-10.4056,-36.4344,23.8,84,19,6.98,BR,1689937558
317,hobyo,5.3505,48.5268,27.99,71,56,14.88,SO,1689937365
318,port elizabeth,-33.918,25.5701,15.05,58,0,5.66,ZA,1689937017
319,coos bay,43.3665,-124.2179,16.3,100,100,2.06,US,1689937559
320,haizhou,34.5817,119.1289,26.77,91,88,2.76,CN,1689937559
321,igrim,63.1906,64.4162,23.24,60,78,1.95,RU,1689937559
322,enugu-ezike,6.9825,7.457,26.76,76,100,3.94,NG,1689937559
323,mushie,-3.0167,16.9,38.42,23,40,0.36,CD,1689937559
324,miasskoye,55.2784,61.8905,22.49,37,89,6.86,RU,1689937559
325,salinas,36.6777,-121.6555,15.45,93,100,1.54,US,1689937483
326,avarua,-21.2078,-159.775,22.03,64,40,3.6,CK,1689937293
327,cooper's town,26.8667,-77.5167,29.51,73,18,5.64,BS,1689937560
328,nieuw amsterdam,5.8833,-55.0833,26.01,86,20,0.0,SR,1689937560
329,kabalo,-6.05,26.9167,35.53,17,12,3.23,CD,1689937560
330,al kharijah,25.4514,30.5464,42.4,9,0,2.86,EG,1689937560
331,choyr,46.3611,108.3611,20.08,56,21,5.46,MN,1689937560
332,la rinconada,37.4873,-5.9826,31.14,31,0,2.06,ES,1689937561
333,djambala,-2.5447,14.7533,34.35,26,13,0.92,CG,1689937561
334,porto murtinho,-21.6989,-57.8825,20.35,69,1,2.26,BR,1689937562
335,bikenibeu village,1.3673,173.1241,25.98,94,100,2.57,KI,1689937562
336,saguenay,48.4168,-71.0657,18.93,81,75,3.6,CA,1689937547
337,argo,37.6333,22.7333,33.21,25,0,4.44,GR,1689937296
338,keflavik,64.0049,-22.5624,13.95,76,75,8.23,IS,1689937352
339,tosya,41.0155,34.0401,26.45,31,0,3.67,TR,1689937563
340,sarangani,5.4033,125.4636,28.83,75,25,5.05,PH,1689937299
341,newman,37.3138,-121.0208,21.14,74,0,0.45,US,1689937212
342,la ronge,55.1001,-105.2842,15.12,88,75,2.06,CA,1689937334
343,dwarka,22.2394,68.9678,29.14,80,87,8.65,IN,1689937563
344,csakvar,47.3918,18.465,19.98,73,100,1.26,HU,1689937563
345,pisco,-13.7,-76.2167,14.03,88,25,2.57,PE,1689937255
346,bengkulu,-3.8004,102.2655,26.52,83,54,4.15,ID,1689937309
347,teluknaga,-6.0989,106.6381,30.1,66,20,4.12,ID,1689937564
348,paramonga,-10.6667,-77.8333,19.07,86,63,2.93,PE,1689937298
349,villa gesell,-37.2639,-56.973,13.36,98,12,6.45,AR,1689937564
350,bhopal,23.2667,77.4,34.13,55,40,4.63,IN,1689937564
351,situbondo,-7.7062,114.0098,25.37,67,7,3.23,ID,1689937564
352,kawalu,-7.3817,108.2082,21.66,91,76,1.83,ID,1689937565
353,aral,40.5156,81.2636,39.05,11,92,8.03,CN,1689937565
354,gangneung,37.7556,128.8961,23.31,91,63,2.16,KR,1689937565
355,kharian,32.8149,73.8636,35.43,52,99,4.64,PK,1689937565
356,fonte boa,-2.4959,-66.2662,22.51,88,69,0.48,BR,1689937566
357,beni mellal,32.3373,-6.3498,28.79,42,40,1.03,MA,1689937566
358,tetiiv,49.3767,29.6647,25.28,37,11,4.43,UA,1689937566
359,geraldton,-28.7667,114.6,12.23,82,5,3.09,AU,1689937281
360,arkhara,49.4212,130.0842,22.93,44,100,1.86,RU,1689937566
361,santa isabel,-23.3156,-46.2214,17.83,89,92,2.07,BR,1689937194
